# nu	S
1492.12 0.0062040277771
1506.51 0.00620407406791
1536.51 0.00620411316311
1558.1 0.00620414777592
1575.86 0.00620417908577
1588.52 0.00620420823352
1657.13 0.0062042279944
52.93 0.0063158390666
63.02 0.00641834003006
83.39 0.00650631006063
102.43 0.00658372231888
111.49 0.00665682276997
120.65 0.00672593235821
139.05 0.00678794459931
145.49 0.00684771752582
147.79 0.00690671777105
160.15 0.0069617888049
165.58 0.00701524326739
174.84 0.00706607983604
191.36 0.00711263486411
194.68 0.00715838381838
197.24 0.00720352275812
201.74 0.00724761296951
208.96 0.00729008061434
231.03 0.00732800419147
241.64 0.00736394272145
257.84 0.00739706995656
264.57 0.00742910106844
277.14 0.0074591885883
283.11 0.00748839767064
291.1 0.00751647350136
309.11 0.00754216121101
319.41 0.00756657916677
333.62 0.00758935061368
341.4 0.00761126913492
348.4 0.00763244801065
360.36 0.00765242105004
363.71 0.00767206890214
370.53 0.00769107105574
373.85 0.00770976661468
385.14 0.00772745604494
392.33 0.00774453300586
410.3 0.00776016956985
710.09 0.00776364830107
712.1 0.00776709123928
716.91 0.00777044996183
718.11 0.00777378798645
733.92 0.00777686456183
735.02 0.00777992370232
737.95 0.00778293686733
739.95 0.00778591903411
870.97 0.00778742246778
873.62 0.00778890500278
875.38 0.00779037381424
878.9 0.00779181554807
1131.74 0.00779218579961
1132.27 0.00779255498187
1132.91 0.00779292287695
1133.23 0.00779329013009
1477.99 0.00779334446981
1494.89 0.00779339388687
1500.9 0.00779344166179
1508.01 0.00779348756357
1564.85 0.00779352088227
1579.46 0.00779355156165
1605.22 0.00779357808192
1633.03 0.0077936007373
52.93 0.0079052118095
63.02 0.00800771277296
83.39 0.00809568280353
102.43 0.00817309506178
111.49 0.00824619551287
120.65 0.00831530510111
139.05 0.00837731734221
145.49 0.00843709026872
147.79 0.00849609051394
160.15 0.0085511615478
165.58 0.00860461601029
174.84 0.00865545257894
191.36 0.00870200760701
194.68 0.00874775656127
197.24 0.00879289550101
201.74 0.00883698571241
208.96 0.00887945335724
231.03 0.00891737693437
241.64 0.00895331546434
257.84 0.00898644269945
264.57 0.00901847381134
277.14 0.0090485613312
283.11 0.00907777041354
291.1 0.00910584624426
309.11 0.00913153395391
319.41 0.00915595190967
333.62 0.00917872335658
341.4 0.00920064187782
348.4 0.00922182075355
360.36 0.00924179379294
363.71 0.00926144164504
370.53 0.00928044379863
373.85 0.00929913935758
385.14 0.00931682878784
392.33 0.00933390574876
410.3 0.00934954231275
710.09 0.00935302104397
712.1 0.00935646398218
716.91 0.00935982270473
718.11 0.00936316072934
733.92 0.00936623730473
735.02 0.00936929644522
737.95 0.00937230961023
739.95 0.009375291777
870.97 0.00937679521068
873.62 0.00937827774568
875.38 0.00937974655714
878.9 0.00938118829097
1131.74 0.00938155854251
1132.27 0.00938192772477
1132.91 0.00938229561985
1133.23 0.00938266287299
1477.99 0.00938271721271
1494.89 0.00938276662977
1500.9 0.00938281440469
1508.01 0.00938286030647
1564.85 0.00938289362517
1579.46 0.00938292430455
1605.22 0.00938295082482
1633.03 0.0093829734802
62.73 0.00948571479869
89.42 0.00957008747792
91.86 0.00965307635476
95.56 0.00973403912833
125.91 0.0098010037568
128.71 0.00986686641914
132.19 0.00993139588721
136.91 0.00999417820715
160.52 0.0100491370701
162.99 0.0101033547525
174.54 0.0101542735328
177.94 0.0102042703331
196.5 0.0102495845898
196.7 0.0102948513827
212.55 0.0103365385387
213.06 0.0103781161877
226.26 0.0104169724115
235.33 0.0104540769727
238.43 0.0104906034589
252.41 0.0105246449903
271.02 0.0105556624305
276.31 0.0105858742951
282.1 0.0106152300483
292.36 0.0106431314555
312.46 0.0106683988512
325.2 0.0106921316517
331.08 0.0107151888301
333.53 0.0107379703393
353.45 0.0107586313493
